# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       2.017868515320e-09       2.618166834584e-15       2.271791943838e-12       0.000000000000e+00       1.102265257188e-10       5.901027454827e-12      -2.681644932276e-15 
   41       1.991548249146e-09       2.837507374885e-15       2.349120843399e-12       0.000000000000e+00       1.051273164361e-10       5.606509465859e-12      -1.897951262910e-15 
   42       1.965433896146e-09       3.068476857838e-15       2.426253696955e-12       0.000000000000e+00       1.003438667675e-10       5.317298085119e-12      -1.841194574629e-15 
   43       1.939591287169e-09       3.311120849789e-15       2.503107392436e-12       0.000000000000e+00       9.586501108379e-11       5.040360828373e-12      -2.310082921025e-15 
   44       1.913978517424e-09       3.565439885532e-15       2.579595476750e-12       0.000000000000e+00       9.166013526972e-11       4.783234791570e-12      -3.050259553202e-15 
   45       1.888504914556e-09       3.831457515411e-15       2.655633727698e-12       0.000000000000e+00       8.769052600515e-11       4.552229546279e-12      -3.805146571201e-15 
   46       1.863252360288e-09       4.109454497794e-15       2.731159805891e-12       0.000000000000e+00       8.395113869362e-11       4.346370094372e-12      -4.494378905463e-15 
   47       1.838303247624e-09       4.399800439961e-15       2.806118792415e-12       0.000000000000e+00       8.043866442542e-11       4.161661180392e-12      -5.083101268119e-15 
   48       1.813671523913e-09       4.702890932450e-15       2.880457666537e-12       0.000000000000e+00       7.713891116013e-11       3.992646768686e-12      -5.532278160430e-15 
   49       1.789296730818e-09       5.019149151624e-15       2.954125246785e-12       0.000000000000e+00       7.402598804339e-11       3.832316565687e-12      -5.798511858992e-15 
   50       1.765089813242e-09       5.348938723152e-15       3.027074507760e-12       0.000000000000e+00       7.107033355883e-11       3.673921069181e-12      -5.852924781285e-15 
   51       1.741099032202e-09       5.692270710794e-15       3.099270408678e-12       0.000000000000e+00       6.826726137748e-11       3.517214400213e-12      -5.744271211278e-15 
   52       1.717378784857e-09       6.049019863175e-15       3.170684087945e-12       0.000000000000e+00       6.561475299801e-11       3.363744435357e-12      -5.552641916315e-15 
