# Matter power spectrum P(k) at redshift z=0
# for k=1.04291e-05 to 1.05913 h/Mpc,
# number of wavenumbers equal to 598
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.377986797920e-02       2.538134825623e+04 
       1.391092342553e-02       2.543053847721e+04 
       1.404201542197e-02       2.547759312300e+04 
       1.417314410668e-02       2.552249165574e+04 
       1.430430964069e-02       2.556524336396e+04 
       1.443551220746e-02       2.560577531912e+04 
       1.456675201269e-02       2.564423204641e+04 
       1.469802928394e-02       2.568074429005e+04 
       1.482934427046e-02       2.571508274896e+04 
       1.496069724296e-02       2.574739785439e+04 
       1.509208849340e-02       2.577765570274e+04 
       1.522351833487e-02       2.580598333752e+04 
       1.535498710146e-02       2.583225217387e+04 
       1.548649514812e-02       2.585677623842e+04 
       1.561804285062e-02       2.587919262563e+04 
       1.574963060548e-02       2.589982836541e+04 
       1.588125882990e-02       2.591856275954e+04 
       1.601292796184e-02       2.593549488421e+04 
       1.614463845993e-02       2.595049283245e+04 
       1.627639080355e-02       2.596375510586e+04 
       1.640818549289e-02       2.597451970554e+04 
       1.654002304900e-02       2.598506724295e+04 
       1.667190401386e-02       2.599301560293e+04 
       1.680382895053e-02       2.599932231764e+04 
       1.693579844327e-02       2.600385690260e+04 
       1.706781309765e-02       2.600678418686e+04 
       1.719987354075e-02       2.600810893180e+04 
       1.733198042131e-02       2.600687027794e+04 
       1.746413440995e-02       2.600583548987e+04 
       1.759633619938e-02       2.600232928552e+04 
       1.772858650461e-02       2.599711988028e+04 
       1.786088606324e-02       2.598973171606e+04 
       1.799323563568e-02       2.598235542600e+04 
       1.812563600546e-02       2.597269597271e+04 
       1.825808797951e-02       2.596157097302e+04 
       1.839059238850e-02       2.594897747826e+04 
       1.852315008713e-02       2.593501241243e+04 
       1.865576195454e-02       2.591887976520e+04 
       1.878842889461e-02       2.590182988655e+04 
       1.892115183639e-02       2.588389341393e+04 
       1.905393173446e-02       2.586425369689e+04 
       1.918676956940e-02       2.584302382755e+04 
       1.931966634817e-02       2.582108052963e+04 
       1.945262310458e-02       2.579811928507e+04 
       1.958564089977e-02       2.577329270918e+04 
       1.971872082269e-02       2.574571855388e+04 
       1.985186399062e-02       2.571969878047e+04 
       1.998507154965e-02       2.569050092531e+04 
       2.011834467529e-02       2.566134965368e+04 
       2.025168457297e-02       2.563033815495e+04 
       2.038509247865e-02       2.559718576157e+04 
       2.051856965945e-02       2.556500352567e+04 
       2.065211741422e-02       2.553049272851e+04 
       2.078573707422e-02       2.549448031805e+04 
       2.091943000377e-02       2.545774172878e+04 
       2.105319760094e-02       2.541971528890e+04 
       2.118704129828e-02       2.538091030243e+04 
       2.132096256351e-02       2.534217416019e+04 
       2.145496290032e-02       2.530056031827e+04 
       2.158904384913e-02       2.525844567151e+04 
       2.172320698788e-02       2.521554341942e+04 
       2.185745393291e-02       2.517195928460e+04 
       2.199178633975e-02       2.512697891180e+04 
       2.212620590408e-02       2.508129508629e+04 
       2.226071436256e-02       2.503554535305e+04 
       2.239531349384e-02       2.498718928784e+04 
       2.253000511948e-02       2.493872162483e+04 
       2.266479110500e-02       2.488956260552e+04 
       2.279967336086e-02       2.483939601611e+04 
       2.293465384355e-02       2.478832090023e+04 
       2.306973455668e-02       2.473636785061e+04 
       2.320491755212e-02       2.468371127017e+04 
       2.334020493116e-02       2.463031971354e+04 
       2.347559884570e-02       2.457594573698e+04 
       2.361110149952e-02       2.452106532491e+04 
       2.374671514951e-02       2.446608460388e+04 
       2.388244210706e-02       2.440891350879e+04 
       2.401828473936e-02       2.435162895159e+04 
       2.415424547081e-02       2.429453703295e+04 
       2.429032678452e-02       2.423519963639e+04 
       2.442653122375e-02       2.417596922646e+04 
       2.456286139347e-02       2.411668467376e+04 
       2.469931996197e-02       2.405521810800e+04 
       2.483590966247e-02       2.399419623435e+04 
       2.497263329485e-02       2.393225834054e+04 
       2.510949372739e-02       2.386963419052e+04 
       2.524649389856e-02       2.380687517791e+04 
       2.538363681894e-02       2.374367640085e+04 
       2.552092557307e-02       2.367937096066e+04 
       2.565836332154e-02       2.361436298310e+04 
       2.579595330297e-02       2.354893559846e+04 
       2.593369883618e-02       2.348381337188e+04 
       2.607160332240e-02       2.341741866591e+04 
       2.620967024751e-02       2.335002806533e+04 
       2.634790318443e-02       2.328305935299e+04 
       2.648630579552e-02       2.321475939530e+04 
       2.662488183515e-02       2.314655470093e+04 
       2.676363515224e-02       2.307783714272e+04 
       2.690256969301e-02       2.300860553997e+04 
       2.704168950376e-02       2.293927478242e+04 
       2.718099873371e-02       2.286912690484e+04 
       2.732050163810e-02       2.279878281263e+04 
       2.746020258117e-02       2.272803661354e+04 
       2.760010603945e-02       2.265680916126e+04 
       2.774021660507e-02       2.258518701731e+04 
       2.788053898920e-02       2.251380942453e+04 
       2.802107802564e-02       2.244105079994e+04 
       2.816183867451e-02       2.236885386908e+04 
       2.830282602613e-02       2.229546755892e+04 
       2.844404530498e-02       2.222230411338e+04 
       2.858550187387e-02       2.214891644520e+04 
       2.872720123821e-02       2.207489685989e+04 
       2.886914905053e-02       2.200078567763e+04 
       2.901135111508e-02       2.192661374870e+04 
       2.915381339264e-02       2.185190419795e+04 
       2.929654200558e-02       2.177692548648e+04 
       2.943954324304e-02       2.170165259364e+04 
       2.958282356634e-02       2.162617055700e+04 
       2.972638961464e-02       2.155034972893e+04 
       2.987024821079e-02       2.147453708978e+04 
       3.001440636745e-02       2.139838144836e+04 
       3.015887129341e-02       2.132202425080e+04 
       3.030365040028e-02       2.124554396495e+04 
       3.044875130932e-02       2.116887012203e+04 
       3.059418185867e-02       2.109186229066e+04 
       3.073995011085e-02       2.101492569788e+04 
       3.088606436056e-02       2.093758197064e+04 
       3.103253314286e-02       2.086017745784e+04 
       3.117936524166e-02       2.078265411767e+04 
       3.132656969868e-02       2.070494682199e+04 
       3.147415582264e-02       2.062714902362e+04 
       3.162213319908e-02       2.054914447237e+04 
       3.177051170041e-02       2.047101636216e+04 
       3.191930149660e-02       2.039320365501e+04 
       3.206851306623e-02       2.031452839256e+04 
       3.221815720815e-02       2.023603632971e+04 
       3.236824505362e-02       2.015756060909e+04 
       3.251878807910e-02       2.007896877094e+04 
       3.266979811955e-02       2.000019388430e+04 
       3.282128738249e-02       1.992143678269e+04 
       3.297326846266e-02       1.984288093600e+04 
       3.312575435747e-02       1.976357330548e+04 
       3.327875848313e-02       1.968479342861e+04 
       3.343229469173e-02       1.960550821756e+04 
       3.358637728904e-02       1.952643569308e+04 
       3.374102105333e-02       1.944745882203e+04 
       3.389624125512e-02       1.936791969189e+04 
       3.405205367800e-02       1.928861345625e+04 
       3.420847464049e-02       1.920941612551e+04 
       3.436552101918e-02       1.912999529345e+04 
       3.452321027299e-02       1.905062046921e+04 
       3.468156046886e-02       1.897117928626e+04 
       3.484059030884e-02       1.889185420989e+04 
       3.500031915866e-02       1.881223586557e+04 
       3.516076707795e-02       1.873288388394e+04 
       3.532195485217e-02       1.865329820128e+04 
       3.548390402641e-02       1.857385537427e+04 
       3.564663694117e-02       1.849426943667e+04 
       3.581017677019e-02       1.841476794149e+04 
       3.597454756065e-02       1.833528314027e+04 
       3.613977427573e-02       1.825548969298e+04 
       3.630588283982e-02       1.817598833069e+04 
       3.647290018650e-02       1.809621333785e+04 
       3.664085430958e-02       1.801674522767e+04 
       3.680977431735e-02       1.793707945744e+04 
       3.697969049034e-02       1.785765906863e+04 
       3.715063434281e-02       1.777801858871e+04 
       3.732263868840e-02       1.769829956205e+04 
       3.749573771006e-02       1.761867444897e+04 
       3.766996703475e-02       1.753913019234e+04 
       3.784536381332e-02       1.745952145037e+04 
       3.802196680593e-02       1.737995895400e+04 
       3.819981647342e-02       1.730030956945e+04 
       3.837895507533e-02       1.722069055836e+04 
       3.855942677495e-02       1.714127850372e+04 
       3.874127775210e-02       1.706150508698e+04 
       3.892455632439e-02       1.698184921041e+04 
       3.910931307754e-02       1.690218133293e+04 
       3.929560100582e-02       1.682251492104e+04 
       3.948347566337e-02       1.674286624199e+04 
       3.967299532745e-02       1.666309272652e+04 
       3.986422117491e-02       1.658331549804e+04 
       4.005721747299e-02       1.650353645425e+04 
