# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       2.017732198798e-09       2.672766122290e-15       2.271410589235e-12       5.505904173029e-17       1.102265257188e-10       5.901027454827e-12      -2.681644932276e-15 
   41       1.991408118655e-09       2.894754569921e-15       2.348702159061e-12       5.784397649310e-17       1.051273164361e-10       5.606509465859e-12      -1.897951262910e-15 
   42       1.965289796996e-09       3.128431170982e-15       2.425795214395e-12       6.069088365995e-17       1.003438667675e-10       5.317298085119e-12      -1.841194574629e-15 
   43       1.939443034409e-09       3.373844465255e-15       2.502606595836e-12       6.359970834821e-17       9.586501108379e-11       5.040360828373e-12      -2.310082921025e-15 
   44       1.913825893878e-09       3.630998554771e-15       2.579049810413e-12       6.657053004143e-17       9.166013526972e-11       4.783234791570e-12      -3.050259553202e-15 
   45       1.888347678856e-09       3.899920808302e-15       2.655040603955e-12       6.960364461859e-17       8.769052600515e-11       4.552229546279e-12      -3.805146571201e-15 
   46       1.863090288491e-09       4.180894825312e-15       2.730516613325e-12       7.269981424928e-17       8.395113869362e-11       4.346370094372e-12      -4.494378905463e-15 
   47       1.838136151285e-09       4.474292994818e-15       2.805422904724e-12       7.586011056846e-17       8.043866442542e-11       4.161661180392e-12      -5.083101268119e-15 
   48       1.813499259583e-09       4.780513985192e-15       2.879706451955e-12       7.908586443705e-17       7.713891116013e-11       3.992646768686e-12      -5.532278160430e-15 
   49       1.789119210119e-09       5.099984358425e-15       2.953316078001e-12       8.237868083851e-17       7.402598804339e-11       3.832316565687e-12      -5.798511858992e-15 
   50       1.764907014366e-09       5.433070756678e-15       3.026204768913e-12       8.574034291583e-17       7.107033355883e-11       3.673921069181e-12      -5.852924781285e-15 
   51       1.740911014832e-09       5.779784616528e-15       3.098337491467e-12       8.917245881435e-17       6.826726137748e-11       3.517214400213e-12      -5.744271211278e-15 
   52       1.717185703587e-09       6.140000093098e-15       3.169685396533e-12       9.267674472805e-17       6.561475299801e-11       3.363744435357e-12      -5.552641916315e-15 
   53       1.693740449002e-09       6.513533949889e-15       3.240223684186e-12       9.625513683075e-17       6.310490110658e-11       3.215088806543e-12      -5.372595194239e-15 
   54       1.670535972525e-09       6.900142964676e-15       3.309931656918e-12       9.990980095575e-17       6.072351007410e-11       3.072851236361e-12      -5.313872006850e-15 
   55       1.647516743832e-09       7.299621397301e-15       3.378788482069e-12       1.036428265739e-16       5.845457534760e-11       2.938403750805e-12      -5.471695879484e-15 
   56       1.624725661718e-09       7.712127690140e-15       3.446759124443e-12       1.074551975282e-16       5.629593994460e-11       2.812046720275e-12      -5.827394264759e-15 
   57       1.602211691192e-09       8.137934383278e-15       3.513805012260e-12       1.113475825618e-16       5.424682760759e-11       2.693633735737e-12      -6.324342004547e-15 
   58       1.579994363561e-09       8.577336439353e-15       3.579887910294e-12       1.153206260549e-16       5.230309981822e-11       2.582794179133e-12      -6.895753921673e-15 
   59       1.558061652623e-09       9.030652547975e-15       3.644969805909e-12       1.193749454035e-16       5.045704638133e-11       2.478919657808e-12      -7.464214944272e-15 
   60       1.536367850853e-09       9.498226430141e-15       3.709012795105e-12       1.235111283992e-16       4.869717600897e-11       2.381150438947e-12      -7.941210230142e-15 
   61       1.514860310336e-09       9.980322483386e-15       3.771975943101e-12       1.277294766689e-16       4.701149567569e-11       2.288571237426e-12      -8.247788717223e-15 
   62       1.493571484246e-09       1.047678239449e-14       3.833805300441e-12       1.320291746261e-16       4.539868260419e-11       2.200880622865e-12      -8.383036720053e-15 
   63       1.472543870348e-09       1.098729341372e-14       3.894441433475e-12       1.364089284829e-16       4.385905975172e-11       2.117848479646e-12      -8.370210111230e-15 
   64       1.451801785283e-09       1.151148520525e-14       3.953822046275e-12       1.408671932631e-16       4.239123155602e-11       2.039113126506e-12      -8.237153838334e-15 
   65       1.431350156609e-09       1.204892779901e-14       4.011881770684e-12       1.454021621248e-16       4.099198521540e-11       1.964174393596e-12      -8.016502595909e-15 
   66       1.411173314854e-09       1.259912954265e-14       4.068551956357e-12       1.500117556822e-16       3.965619196880e-11       1.892386699541e-12      -7.745881497448e-15 
   67       1.391233785558e-09       1.316153505351e-14       4.123760460813e-12       1.546936113283e-16       3.837670837593e-11       1.822952128495e-12      -7.468106747384e-15 
   68       1.371491821429e-09       1.373563678786e-14       4.177443424992e-12       1.594453849589e-16       3.714633574182e-11       1.755132600805e-12      -7.222052751756e-15 
   69       1.351971294745e-09       1.432134057866e-14       4.229583839960e-12       1.642657510064e-16       3.596438009964e-11       1.688951782326e-12      -7.012655974197e-15 
   70       1.332705047816e-09       1.491867082644e-14       4.280180453570e-12       1.691535867885e-16       3.483125021572e-11       1.624623617210e-12      -6.835165641216e-15 
   71       1.313714668838e-09       1.552766427778e-14       4.329236571237e-12       1.741076753949e-16       3.374647179851e-11       1.562344522462e-12      -6.683902167971e-15 
   72       1.295009814379e-09       1.614837088304e-14       4.376760152513e-12       1.791267029998e-16       3.270864141671e-11       1.502292068415e-12      -6.552219120242e-15 
   73       1.276587531862e-09       1.678085465412e-14       4.422763907677e-12       1.842092561736e-16       3.171538041727e-11       1.444623659204e-12      -6.432465176413e-15 
   74       1.258431582051e-09       1.742519452217e-14       4.467265394309e-12       1.893538191953e-16       3.076328884350e-11       1.389475213243e-12      -6.315946089447e-15 
   75       1.240511761532e-09       1.808148519540e-14       4.510287113876e-12       1.945587713642e-16       2.984789935307e-11       1.336959843693e-12      -6.192886648865e-15 
   76       1.222797596816e-09       1.874975942586e-14       4.551847425453e-12       1.998229092078e-16       2.896481458394e-11       1.287149835274e-12      -6.054909048488e-15 
   77       1.205303807272e-09       1.942973654911e-14       4.591931160486e-12       2.051471289848e-16       2.811346056257e-11       1.240021697159e-12      -5.903073835362e-15 
   78       1.188051940187e-09       2.012102943485e-14       4.630513800067e-12       2.105330475366e-16       2.729393720619e-11       1.195498646343e-12      -5.741242971709e-15 
   79       1.171056357999e-09       2.082321826826e-14       4.667570092175e-12       2.159825125550e-16       2.650587413395e-11       1.153464787252e-12      -5.573706854439e-15 
